"scope","module name","license","repository"
"project","portal@2.0.0","MIT",""
"frontend-runtime","@tauri-apps/api@2.10.1","Apache-2.0 OR MIT","https://github.com/tauri-apps/tauri"
"frontend-runtime","@tauri-apps/plugin-clipboard-manager@2.3.2","MIT OR Apache-2.0","https://github.com/tauri-apps/plugins-workspace"
"frontend-runtime","@tauri-apps/plugin-dialog@2.6.0","MIT OR Apache-2.0","https://github.com/tauri-apps/plugins-workspace"
"frontend-runtime","@tauri-apps/plugin-global-shortcut@2.3.2","MIT OR Apache-2.0","https://github.com/tauri-apps/plugins-workspace"
"frontend-runtime","@tauri-apps/plugin-notification@2.3.3","MIT OR Apache-2.0","https://github.com/tauri-apps/plugins-workspace"
"frontend-runtime","@tauri-apps/plugin-opener@2.5.4","MIT OR Apache-2.0","https://github.com/tauri-apps/plugins-workspace"
"frontend-runtime","@tauri-apps/plugin-store@2.4.4","MIT OR Apache-2.0","https://github.com/tauri-apps/plugins-workspace"
"frontend-runtime","@xterm/addon-fit@0.11.0","MIT","https://github.com/xtermjs/xterm.js/tree/master/addons/addon-fit"
"frontend-runtime","@xterm/xterm@6.0.0","MIT","https://github.com/xtermjs/xterm.js"
"frontend-runtime","antd@6.3.3","MIT","https://github.com/ant-design/ant-design"
"frontend-runtime","prismjs@1.30.0","MIT","https://github.com/PrismJS/prism"
"frontend-runtime","pubsub-js@1.9.5","MIT","https://github.com/mroderick/PubSubJS"
"frontend-runtime","react-dom@19.2.4","MIT","https://github.com/facebook/react"
"frontend-runtime","react-hot-toast@2.6.0","MIT","https://github.com/timolins/react-hot-toast"
"frontend-runtime","react@19.2.4","MIT","https://github.com/facebook/react"
"frontend-runtime","valtio@2.3.1","MIT","https://github.com/pmndrs/valtio"
"frontend-development","@ant-design/static-style-extract@2.1.0","MIT","https://github.com/ant-design/static-style-extract"
"frontend-development","@eslint/eslintrc@3.3.5","MIT","https://github.com/eslint/eslintrc"
"frontend-development","@tauri-apps/cli@2.10.1","Apache-2.0 OR MIT","https://github.com/tauri-apps/tauri"
"frontend-development","@typescript-eslint/eslint-plugin@8.57.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"frontend-development","@typescript-eslint/parser@8.57.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"frontend-development","@vitejs/plugin-react@4.7.0","MIT","https://github.com/vitejs/vite-plugin-react"
"frontend-development","eslint-plugin-import@2.32.0","MIT","https://github.com/import-js/eslint-plugin-import"
"frontend-development","eslint-plugin-react-hooks@7.0.1","MIT","https://github.com/facebook/react"
"frontend-development","eslint-plugin-react-refresh@0.5.2","MIT","https://github.com/ArnaudBarre/eslint-plugin-react-refresh"
"frontend-development","eslint-plugin-react@7.37.5","MIT","https://github.com/jsx-eslint/eslint-plugin-react"
"frontend-development","eslint@9.39.4","MIT","https://github.com/eslint/eslint"
"frontend-development","goober@2.1.18","MIT","https://github.com/cristianbote/goober"
"frontend-development","license-checker@25.0.1","BSD-3-Clause","https://github.com/davglass/license-checker"
"frontend-development","vite@7.3.1","MIT","https://github.com/vitejs/vite"
"rust-application","tauri-rs:portal@0.1.0","MIT","https://gitee.com/Mage-7-28/portal"
